	Link	Name	average_score	space_score	position_score	quality_score	serve_score	price_score	address	district	views	review_count	price_range	open hours	close hours	suitable_time	last_pickup_time	prepare_time	holiday	type	capacity	style	suitable_with	serves	available
10	/ho-chi-minh/kobe-nha-hang-nhat	Kobe Teppanyaki - Nhà Hàng Nhật	8.0	8.3	8.1	8.2	8.5	6.9	13A Tú Xương, P. 7	Quận 3	91.7K	33	119.000đ - 2.000.000đ	10:00 	 22:00	Buổi  trưa,Buổi  tối	10:30 PM	Khoảng 15 - 30 phút	Các ngày lễ trong năm	Sang trọng,Nhà hàng	100 người lớn                                    (Có chỗ cho trẻ em)	Món Nhật	Đãi tiệc,Ăn gia đình,Uống bia - Nhậu,Họp nhóm,Tiếp khách,Tiếp khách sang trọng	Thịt Bò,Lẩu,Sushi & Sashimi,Rượu vang,Thức uống,Bia,Nước ngọt,Cocktail	['Có wifi ', 'Có giao hàng', 'Có máy lạnh & điều hòa ', 'Cho mua về', 'Trả bằng thẻ : Visa/Master', 'Có chỗ đậu ôtô ', 'Nên đặt trước ', 'Có bàn ngoài trời', 'Có phòng riêng ', 'Có chỗ chơi cho trẻ em', 'Có karaoke', 'Giữ xe máy miễn phí ', 'Tip cho nhân viên ', 'Có khu vực hút thuốc', 'Có thẻ thành viên', 'Có xuất hóa đơn đỏ ', 'Có hỗ trợ hội thảo', 'Có lò sưởi', 'Có hỗ trợ người khuyết tật', 'Có chiếu bóng đá', 'Có nhạc sống']
11	/ho-chi-minh/kobe-teppanyaki-nha-hang-nhat-ton-duc-thang	Kobe Teppanyaki - Nhà Hàng Nhật - Tôn Đức Thắng	8.8	9.0	9.5	9.0	9.0	7.5	23C Tôn Đức Thắng, P. Bến Nghé	Quận 1	1.7K	2	119.000đ - 2.000.000đ	10:00 	 22:00	Buổi  trưa,Buổi xế,Buổi  tối		Khoảng 5 - 10 phút	Các ngày lễ trong năm	Nhà hàng	50 người lớn	Món Á ,Món Nhật	Ăn gia đình,Tiếp khách,BBQ - Món Nướng,Ăn vặt,Tiếp khách sang trọng	Thịt Bò	['Có wifi ', 'Có giao hàng', 'Có máy lạnh & điều hòa', 'Cho mua về', 'Trả bằng thẻ ', 'Có chỗ đậu ôtô', 'Nên đặt trước ', 'Có bàn ngoài trời', 'Có phòng riêng', 'Có chỗ chơi cho trẻ em', 'Có karaoke', 'Giữ xe máy miễn phí ', 'Tip cho nhân viên', 'Có khu vực hút thuốc', 'Có thẻ thành viên', 'Có xuất hóa đơn đỏ ', 'Có hỗ trợ hội thảo', 'Có lò sưởi', 'Có hỗ trợ người khuyết tật', 'Có chiếu bóng đá', 'Có nhạc sống']
12	/ho-chi-minh/tra-tien-huong-dien-bien-phu	Trà Sữa Tiên Hưởng - Điện Biên Phủ	6.7	6.8	7.3	6.6	6.5	6.5	475 Điện Biên Phủ, P. 25	Quận Bình Thạnh	57.0K	128	15.000đ - 90.000đ	09:30 	 23:00	Buổi sáng,Buổi  trưa,Buổi xế,Buổi  tối,Buổi  khuya	10:30 PM	Khoảng 10 - 15 phút	Các ngày lễ trong năm	Café/Dessert	150 người lớn	Món Á ,Món Trung Hoa	Hẹn hò,Họp nhóm,Thư giãn	Trà,Thức uống,Trà sữa	['Có wifi ', 'Có giao hàng ', 'Có máy lạnh & điều hòa ', 'Cho mua về ', 'Trả bằng thẻ', 'Có chỗ đậu ôtô', 'Nên đặt trước', 'Có bàn ngoài trời ', 'Có phòng riêng', 'Có chỗ chơi cho trẻ em', 'Có karaoke', 'Giữ xe máy miễn phí ', 'Tip cho nhân viên', 'Có khu vực hút thuốc', 'Có thẻ thành viên ', 'Có xuất hóa đơn đỏ', 'Có hỗ trợ hội thảo', 'Có lò sưởi', 'Có hỗ trợ người khuyết tật', 'Có chiếu bóng đá', 'Có nhạc sống']
13	/ho-chi-minh/roji-coffee	Roji Coffee	8.2	8.5	7.8	8.2	8.0	8.3	2A Phan Tây Hồ, P. 7	Quận Phú Nhuận	12.5K	106	15.000đ - 35.000đ	08:00 	 21:00	Buổi sáng,Buổi  trưa,Buổi xế,Buổi  tối	10:30 PM	Khoảng 3 - 7 phút	Các ngày lễ trong năm	Café/Dessert	50 người lớn	Món Á ,Món Nhật	Hẹn hò,Họp nhóm,Thư giãn	Café - Kem,Sinh tố - Nước ép	['Có wifi ', 'Có giao hàng', 'Có máy lạnh & điều hòa ', 'Cho mua về ', 'Trả bằng thẻ', 'Có chỗ đậu ôtô', 'Nên đặt trước', 'Có bàn ngoài trời ', 'Có phòng riêng', 'Có chỗ chơi cho trẻ em', 'Có karaoke', 'Giữ xe máy miễn phí ', 'Tip cho nhân viên', 'Có khu vực hút thuốc', 'Có thẻ thành viên', 'Có xuất hóa đơn đỏ', 'Có hỗ trợ hội thảo', 'Có lò sưởi', 'Có hỗ trợ người khuyết tật', 'Có chiếu bóng đá', 'Có nhạc sống']
14	/ho-chi-minh/mi-blythe	Mi Blythe - Bánh Macaron	6.7	6.6	6.4	7.0	6.7	6.8	57 Nguyễn Thượng Hiền, P. 5	Quận 3	74.8K	85	20.000đ - 50.000đ	09:00 	 20:00	Buổi sáng,Buổi  trưa,Buổi xế,Buổi  tối	07:30 PM			Shop Online		Món Việt		Bánh - Kẹo	['Có giao hàng ', 'Cho mua về ', 'Nên đặt trước', 'Có xuất hóa đơn đỏ']
15	/ho-chi-minh/mi-quang-quynh-khuong	Mì Quảng Quỳnh Khương - Nguyễn Văn Trỗi	6.4	6.3	6.3	6.5	6.2	6.6	309/10 Nguyễn Văn Trỗi, P. 1	Quận Tân Bình	70.8K	160	20.000đ - 50.000đ	07:00 	 23:00	Buổi sáng,Buổi  trưa,Buổi xế,Buổi  tối		Khoảng 10 - 15 phút	Các ngày lễ trong năm	Quán ăn	30 người lớn	Món Miền Trung	Ăn gia đình,Ăn bình dân - Quán Cóc	Bún,Mì,Món nước	['Có wifi', 'Có giao hàng', 'Có máy lạnh & điều hòa', 'Cho mua về ', 'Trả bằng thẻ', 'Có chỗ đậu ôtô', 'Nên đặt trước', 'Có bàn ngoài trời', 'Có phòng riêng', 'Có chỗ chơi cho trẻ em', 'Giữ xe máy miễn phí ', 'Tip cho nhân viên', 'Có khu vực hút thuốc', 'Có thẻ thành viên', 'Có xuất hóa đơn đỏ', 'Có lò sưởi', 'Có hỗ trợ người khuyết tật', 'Có chiếu bóng đá']
16	/ho-chi-minh/tra-sua-365-dao-duy-tu	Trà Sữa 365 - Đào Duy Từ	6.4	6.0	6.2	6.8	7.0	6.3	59/4 Đào Duy Từ	Quận 10	97.8K	101	12.000đ - 35.000đ	08:00 	 22:00	Buổi sáng,Buổi  trưa,Buổi xế,Buổi  tối	09:30 PM	Khoảng 7 - 15 phút	Các ngày lễ trong năm	Café/Dessert	30 người lớn	Món Việt	Hẹn hò,Họp nhóm,Thư giãn,Dành cho Nam giới	Sinh tố - Nước ép,Thức uống,Trà sữa	['Có wifi ', 'Có giao hàng', 'Có máy lạnh & điều hòa ', 'Cho mua về ', 'Trả bằng thẻ', 'Có chỗ đậu ôtô', 'Nên đặt trước', 'Có bàn ngoài trời', 'Có phòng riêng', 'Có chỗ chơi cho trẻ em', 'Có karaoke', 'Giữ xe máy miễn phí ', 'Tip cho nhân viên', 'Có khu vực hút thuốc', 'Có thẻ thành viên', 'Có xuất hóa đơn đỏ', 'Có hỗ trợ hội thảo', 'Có lò sưởi', 'Có hỗ trợ người khuyết tật', 'Có chiếu bóng đá', 'Có nhạc sống']
17	/ho-chi-minh/tra-sua-365-le-trong-tan	Trà Sữa 365 - Lê Trọng Tấn	6.3	6.5	6.8	6.3	6.2	5.8	278 Lê Trọng Tấn, P. Tây Thạnh	Quận Tân Phú	23.7K	59	15.000đ - 35.000đ	08:00 	 22:30	Buổi sáng,Buổi  trưa,Buổi xế,Buổi  tối	10:00 PM	Khoảng 5 - 10 phút	Các ngày lễ trong năm	Café/Dessert	30 người lớn	Món Việt	Hẹn hò,Họp nhóm,Thư giãn,Takeaway - Mang về	Trà sữa	['Có wifi ', 'Có giao hàng ', 'Có máy lạnh & điều hòa ', 'Cho mua về ', 'Trả bằng thẻ', 'Có chỗ đậu ôtô', 'Nên đặt trước', 'Có bàn ngoài trời', 'Có phòng riêng', 'Có chỗ chơi cho trẻ em', 'Có karaoke', 'Giữ xe máy miễn phí ', 'Tip cho nhân viên', 'Có khu vực hút thuốc', 'Có thẻ thành viên', 'Có xuất hóa đơn đỏ', 'Có hỗ trợ hội thảo', 'Có lò sưởi', 'Có hỗ trợ người khuyết tật', 'Có chiếu bóng đá', 'Có nhạc sống']
18	/ho-chi-minh/nha-hang-san-vuon-ben-song-kha-van-can	Nhà Hàng Sân Vườn Bên Sông - Kha Vạn Cân	6.9	7.5	6.5	6.9	6.2	7.2	17/3 Kha Vạn Cân, P. Hiệp Bình Chánh	Tp. Thủ Đức	137.4K	98	80.000đ - 165.000đ	08:00 	 22:00	Buổi sáng,Buổi  trưa,Buổi xế,Buổi  tối	10:00 PM	Khoảng 15 - 30 phút	Các ngày lễ trong năm	Nhà hàng	100 người lớn                                    (Có chỗ cho trẻ em)	Món Việt	Đãi tiệc,Ăn gia đình,Hẹn hò,Uống bia - Nhậu,Họp nhóm,Tiếp khách,Tiệc ngoài trời,Ngắm cảnh	Tôm,Thịt Gà,Thịt Dê,Thịt Bò,Cua - Ghẹ,Thịt Heo,Hải sản,Cá,Nghêu - Sò - Ốc ,Mực,Rượu vang,Thức uống,Bia,Nước ngọt	['Có wifi', 'Có giao hàng', 'Có máy lạnh & điều hòa', 'Cho mua về', 'Trả bằng thẻ', 'Có chỗ đậu ôtô ', 'Nên đặt trước ', 'Có bàn ngoài trời ', 'Có phòng riêng ', 'Có chỗ chơi cho trẻ em ', 'Có karaoke', 'Giữ xe máy miễn phí ', 'Tip cho nhân viên', 'Có khu vực hút thuốc ', 'Có thẻ thành viên', 'Có xuất hóa đơn đỏ ', 'Có hỗ trợ hội thảo', 'Có lò sưởi', 'Có hỗ trợ người khuyết tật', 'Có chiếu bóng đá', 'Có nhạc sống']
19	/ho-chi-minh/luminus-smoothies-sinh-to-suc-khoe-pasteur	Luminus - Sinh Tố Sức Khỏe - Pasteur	8.3	7.9	8.2	8.9	8.6	8.0	280 Pasteur	Quận 3	16.3K	131	38.000đ - 48.000đ	08:00 	 22:00	Buổi sáng,Buổi  trưa,Buổi xế,Buổi  tối	10:00 PM	Khoảng 3 - 5 phút	Các ngày lễ trong năm	Café/Dessert	40 người lớn	Món Việt ,Mỹ ,Châu Mỹ	Họp nhóm,Tiếp khách,Giao tận nơi,Takeaway - Mang về	Trà,Sinh tố - Nước ép,Thức uống	['Có wifi ', 'Có giao hàng ', 'Có máy lạnh & điều hòa ', 'Cho mua về ', 'Trả bằng thẻ ', 'Có chỗ đậu ôtô ', 'Nên đặt trước ', 'Có bàn ngoài trời ', 'Có phòng riêng', 'Có chỗ chơi cho trẻ em', 'Có karaoke', 'Giữ xe máy miễn phí ', 'Tip cho nhân viên', 'Có khu vực hút thuốc ', 'Có thẻ thành viên ', 'Có xuất hóa đơn đỏ ', 'Có hỗ trợ hội thảo ', 'Có lò sưởi', 'Có hỗ trợ người khuyết tật ', 'Có chiếu bóng đá', 'Có nhạc sống']
20	/ho-chi-minh/luminus-sinh-to-suc-khoe-nguyen-hue	Luminus - Sinh Tố Sức Khỏe - Nguyễn Huệ		--	--	--	--	--	66A Nguyễn Huệ, P. Bến Nghé	Quận 1	37	0	38.000đ - 48.000đ	09:00 	 23:00	Buổi sáng,Buổi  trưa,Buổi xế,Buổi  tối				Café/Dessert				Sinh tố - Nước ép,Thức uống	['Có wifi', 'Có giao hàng', 'Có máy lạnh & điều hòa', 'Cho mua về', 'Trả bằng thẻ', 'Có chỗ đậu ôtô', 'Nên đặt trước', 'Có bàn ngoài trời', 'Có phòng riêng', 'Có chỗ chơi cho trẻ em', 'Có karaoke', 'Giữ xe máy miễn phí', 'Tip cho nhân viên', 'Có khu vực hút thuốc', 'Có thẻ thành viên', 'Có xuất hóa đơn đỏ', 'Có hỗ trợ hội thảo', 'Có lò sưởi', 'Có hỗ trợ người khuyết tật', 'Có chiếu bóng đá', 'Có nhạc sống']
21	/ho-chi-minh/ha-ky-mi-gia-nguyen-trai	Hà Ký Mì Gia - Bàu Cát	7.2	6.9	7.4	7.6	7.2	6.7	164 Bàu Cát, P. 14	Quận Tân Bình	68.4K	97	55.000đ - 55.000đ	06:00 	 23:00	Buổi sáng,Buổi  trưa,Buổi xế,Buổi  tối	10:45 PM	Khoảng 5 - 10 phút	Các ngày lễ trong năm	Quán ăn	30 người lớn	Món Á ,Món Trung Hoa	Ăn gia đình,Hẹn hò,Họp nhóm,Ăn bình dân - Quán Cóc	Món nước,Mì	['Có wifi ', 'Có giao hàng', 'Có máy lạnh & điều hòa ', 'Cho mua về ', 'Trả bằng thẻ', 'Có chỗ đậu ôtô', 'Nên đặt trước', 'Có bàn ngoài trời', 'Có phòng riêng', 'Có chỗ chơi cho trẻ em', 'Giữ xe máy miễn phí ', 'Tip cho nhân viên', 'Có khu vực hút thuốc', 'Có thẻ thành viên', 'Có xuất hóa đơn đỏ', 'Có lò sưởi', 'Có hỗ trợ người khuyết tật', 'Có chiếu bóng đá']
22	/ho-chi-minh/sup-cua-trang	Súp Cua Trang	6.5	5.8	7.0	6.5	6.4	7.0	210 Vạn Kiếp, P.3	Quận Bình Thạnh	56.5K	114	10.000đ - 22.000đ	07:00 	 21:00	Buổi xế,Buổi  tối	09:30 PM	Khoảng 5 - 10 phút	Nghỉ mùng 1 và 15 âm lịch hàng tháng	Quán ăn	10 người lớn	Món Việt	Ăn bình dân - Quán Cóc	Cháo,Súp,Ăn vặt - Ăn nhẹ,Nem	['Có wifi', 'Có giao hàng', 'Có máy lạnh & điều hòa', 'Cho mua về ', 'Trả bằng thẻ', 'Có chỗ đậu ôtô', 'Nên đặt trước', 'Có bàn ngoài trời', 'Có phòng riêng', 'Có chỗ chơi cho trẻ em', 'Giữ xe máy miễn phí ', 'Tip cho nhân viên', 'Có khu vực hút thuốc', 'Có thẻ thành viên', 'Có xuất hóa đơn đỏ', 'Có lò sưởi', 'Có hỗ trợ người khuyết tật', 'Có chiếu bóng đá']
23	/ho-chi-minh/banh-cuon-tay-ho-dinh-tien-hoang	Bánh Cuốn Tây Hồ - Đinh Tiên Hoàng	5.9	5.8	6.6	6.3	5.8	5.4	127 Đinh Tiên Hoàng, P. Đa Kao	Quận 1	26.1K	131	30.000đ - 55.000đ	07:00 	 23:00	Buổi sáng,Buổi  trưa,Buổi xế,Buổi  tối	10:30 PM	Khoảng 3 - 5 phút	Các ngày lễ trong năm	Quán ăn	40 người lớn                                    (Có chỗ cho trẻ em)	Món Việt ,Món Bắc ,Hà Nội	Ăn gia đình,Takeaway - Mang về	Bánh ướt,Bánh - Kẹo,Bánh cuốn,Bánh bèo,Ăn vặt - Ăn nhẹ	['Có wifi', 'Có giao hàng ', 'Có máy lạnh & điều hòa', 'Cho mua về ', 'Trả bằng thẻ', 'Có chỗ đậu ôtô', 'Nên đặt trước', 'Có bàn ngoài trời', 'Có phòng riêng', 'Có chỗ chơi cho trẻ em', 'Giữ xe máy miễn phí', 'Tip cho nhân viên', 'Có khu vực hút thuốc', 'Có thẻ thành viên', 'Có xuất hóa đơn đỏ', 'Có lò sưởi', 'Có hỗ trợ người khuyết tật', 'Có chiếu bóng đá']
