,_id,name,review_count,address,district,average_score,views,food_list,comment_list,position_score,space_score,quality_score,serve_score,price_score,food_link,opening_time,suitable_time,last_pick_up_time,prepare_time,holiday,type,capacity,style,suitable_with,serves,available,parking_lots,website,price_range
0,63340c41b53fc66fec0031a6,Bún Đậu Homemade - Phan Xích Long,211,"25 Phan Xích Long, P. 3",Quận Bình Thạnh,6.6,22.2K,[],[],7.4,6.8,6.4,6.2,6.0,https://shopeefood.vn/ho-chi-minh/bun-dau-homemade-phan-xich-long?source_url=foody_ordernow_pc,Đang mở cửa  10:00 - 22:00,"Buổi sáng , Buổi trưa , Buổi xế , Buổi tối",09:30 PM,Khoảng 5 - 10 phút,Các ngày lễ trong năm,Quán ăn,40 người lớn,Món Việt,"Ăn gia đình ,  Ăn vặt","Bún ,  Chè ,  Lẩu ,  Ăn vặt - Ăn nhẹ","['Có wifi', 'Có máy lạnh & điều hòa', 'Cho mua về']","[{'name': 'Bãi Giữ Xe Công Viên Lê Văn Tám - Võ Thị Sáu', 'address': 'Võ Thị Sáu, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 07:00-22:00', 'capacity': '- Sức chứa: 1000    '}]",,
1,63340c43b53fc66fec0031a7,Da Heo Út Cưng - Shop Online - Vĩnh Viễn,9,"208 Vĩnh Viễn, P. 4",Quận 10,7.0,652,[],[],7.4,7.1,6.6,6.8,7.3,https://shopeefood.vn/ho-chi-minh/da-heo-ut-cung-shop-online-vinh-vien?source_url=foody_ordernow_pc,Đang mở cửa  07:00 - 23:00,"Buổi sáng , Buổi trưa , Buổi xế , Buổi tối",,,,Shop Online,,Món Việt,,,"['Có giao hàng', 'Nên đặt trước']",[],,
2,63340c4db53fc66fec0031a8,McDonald’s Vincom Thu Duc,16,"Vincom Thủ Đức, 216 Võ Văn Ngân, P. Bình Thọ",Tp. Thủ Đức,7.7,2.8K,[],[],7.9,7.6,7.9,7.8,7.1,https://shopeefood.vn/ho-chi-minh/mcdonald-s-vincom-thu-duc?source_url=foody_ordernow_pc,Đang mở cửa  11:00 - 21:00,"Buổi sáng , Buổi trưa , Buổi xế , Buổi tối",09:30 PM,Khoảng 3 - 5 phút,Các ngày lễ trong năm,Quán ăn,50 người lớn,"Mỹ ,  Châu Mỹ","Ăn gia đình ,  Họp nhóm ,  Ăn vặt ,  Takeaway - Mang về","Gà rán ,  Hamburger ,  Fastfood - Thức ăn nhanh","['Có wifi', 'Có máy lạnh & điều hòa', 'Cho mua về', 'Có chỗ đậu ôtô']",[],www.mcdonalds.vn,
3,63340c50b53fc66fec0031a9,Crystal Jade Kitchen - Vạn Hạnh Mall - Nhà Hàng Quảng Đông,68,"06 Vạn Hạnh Mall, 11 Sư Vạn Hạnh, P. 12",Quận 10,8.2,5.9K,[],[],8.3,8.4,8.3,8.0,7.8,,Đang mở cửa  09:00 - 22:00,"Buổi sáng , Buổi trưa , Buổi xế , Buổi tối",,Khoảng 5 - 15 phút,Các ngày lễ trong năm,Nhà hàng,100 người lớn,"Món Á ,  Món Trung Hoa","Đãi tiệc ,  Ăn gia đình ,  Họp nhóm ,  Tiếp khách","Cháo ,  Chân cánh gà nướng ,  Gà ác/gà hầm ,  Hoành Thánh - Vằn Thắn ,  Dimsum","['Có wifi', 'Nên đặt trước']","[{'name': 'Bãi Giữ Xe Đường Cao Thắng', 'address': 'Cao Thắng, P. 12, Quận 10, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-22:00', 'capacity': '- Sức chứa: 0   - 50  '}]",,
4,63340c53b53fc66fec0031aa,Kichi Kichi Lẩu Băng Chuyền - Cộng Hòa,113,"Tầng Trệt, 15-17 Cộng Hòa, P. 4",Quận Tân Bình,7.5,28.0K,[],[],7.6,7.3,7.5,7.6,7.4,,Đang mở cửa  10:00 - 22:00,"Buổi trưa , Buổi tối",09:30 PM,Khoảng 2 - 5 phút,Các ngày lễ trong năm,Nhà hàng,200 người lớn,"Món Á ,  Món Nhật","Ăn gia đình ,  Hẹn hò ,  Họp nhóm ,  Tiếp khách",Lẩu,"['Có wifi', 'Có máy lạnh & điều hòa', 'Nên đặt trước']","[{'name': 'Bãi Giữ Xe Lotte Mart Tân Bình', 'address': '20 Cộng Hòa, Quận Tân Bình, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:30-22:00', 'capacity': '- Sức chứa: 1000   - 50  '}, {'name': 'Bãi Giữ Xe Maximark Cộng Hòa', 'address': '17 Cộng Hòa, P. 4, Quận Tân Bình, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-22:30', 'capacity': '- Sức chứa: 1000   - 20  '}, {'name': 'Bãi Giữ Xe Trung Tâm Triển Lãm Hoàng Văn Thụ', 'address': '446 Hoàng Văn Thụ, P. 4, Quận Tân Bình, TP. HCM', 'opening_time': '- Giờ mở cửa: 07:00-22:00', 'capacity': '- Sức chứa: 100   - 50  '}, {'name': 'Bãi Giữ Xe Superbowl', 'address': 'Trường Sơn, P. 4, Quận Tân Bình, TP. HCM', 'opening_time': '- Giờ mở cửa: 09:30-23:00', 'capacity': '- Sức chứa: 1000    '}, {'name': 'Bãi Giữ Xe Công Viên Hoàng Văn Thụ', 'address': 'Hoàng Văn Thụ, P. 1, Quận Tân Bình, TP. HCM', 'opening_time': '- Giờ mở cửa: 07:00-22:00', 'capacity': '- Sức chứa: 500    '}, {'name': 'Bãi Giữ Xe Công Viên Hoàng Văn Thụ - Phan Thúc Duyên', 'address': 'Phan Thúc Duyên, P. 2, Quận Tân Bình, TP. HCM', 'opening_time': '- Giờ mở cửa: 07:00-22:00', 'capacity': '- Sức chứa: 200    '}]",,
5,63340c59b53fc66fec0031ab,Pepper Lunch - Vincom Center,287,"Tầng B3 Vincom Center, 72 Lê Thánh Tôn, P. Bến Nghé",Quận 1,7.3,9.0K,[],[],7.5,7.3,8.0,7.1,6.4,https://shopeefood.vn/ho-chi-minh/pepper-lunch-vincom-center?source_url=foody_ordernow_pc,Đang mở cửa  09:00 - 22:00,"Buổi sáng , Buổi trưa , Buổi xế , Buổi tối",09:30 PM,Khoảng 10 - 20 phút,Các ngày lễ trong năm,Nhà hàng,50 người lớn,"Món Á ,  Món Nhật","Ăn gia đình ,  Hẹn hò ,  Họp nhóm ,  Tiếp khách","Cơm Chiên ,  Sushi & Sashimi ,  Cơm ,  Xúc xích ,  Fastfood - Thức ăn nhanh","['Có wifi', 'Có máy lạnh & điều hòa', 'Có chỗ đậu ôtô', 'Giữ xe máy miễn phí']","[{'name': 'Bãi Giữ Xe Bảo Tàng Mỹ Thuật', 'address': '97 Phó Đức Chính, P. Nguyễn Thái Bình, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 07:00-22:00', 'capacity': '- Sức chứa: 100   - 50  '}, {'name': 'Bãi Giữ Xe Đường Hàm Nghi', 'address': 'Hàm Nghi, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 07:00-21:00', 'capacity': '- Sức chứa: 200    '}, {'name': 'Bãi Giữ Xe Ô Tô 24/24 - Nam Kỳ Khởi Nghĩa', 'address': 'Nam Kỳ Khởi Nghĩa, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 24:00-24:00', 'capacity': '- Sức chứa: 0   - 100  '}, {'name': 'Bãi Giữ Xe Bitexco', 'address': 'Hải Triều, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-22:00', 'capacity': '- Sức chứa: 1000   - 50  '}, {'name': 'Bãi Xe Ô Tô Nhà Hát Lớn Thành Phố', 'address': 'Công Trường Lam Sơn, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-23:00', 'capacity': '- Sức chứa: 50    '}, {'name': 'Bãi Giữ Xe Dinh Độc Lập', 'address': '135 Nam Kỳ Khởi Nghĩa, P. Bến Thành, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-18:00', 'capacity': '- Sức chứa: 1000    '}, {'name': 'Bãi Giữ Xe Bệnh Viện Nhi Đồng 2 - Lý Tự Trọng', 'address': 'Lý Tự Trọng, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 24:00-24:00', 'capacity': '- Sức chứa: 1000    '}, {'name': 'Bãi Giữ Xe Bệnh Viện Nhi Đồng 2 - Nguyễn Du', 'address': 'Nguyễn Du, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 24:00-24:00', 'capacity': '- Sức chứa: 2000    '}, {'name': 'Bãi Giữ Xe Nhà Hát Thành Phố', 'address': '7 Công Trường Lam Sơn, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-22:00', 'capacity': '- Sức chứa: 200    '}, {'name': 'Bãi Giữ Xe Vincom Center', 'address': '72 Lê Thánh Tôn, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-23:00', 'capacity': '- Sức chứa: 2000    '}, {'name': 'Bãi Giữ Xe Diamond Plaza', 'address': '34 Lê Duẩn, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 09:30-22:00', 'capacity': '- Sức chứa: 1000    '}, {'name': 'Bãi Giữ Xe Nhà Văn Hóa Thanh Niên', 'address': 'Nguyễn Thị Minh Khai, P. 6, Quận 3, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-22:00', 'capacity': '- Sức chứa: 1000    '}, {'name': 'Bãi Giữ Xe Đường Sách - Hai Bà Trưng', 'address': 'Hai Bà Trưng, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-22:00', 'capacity': '- Sức chứa: 200    '}, {'name': 'Bãi Giữ Xe Đường Sách Nguyễn Văn Bình', 'address': 'Nguyễn Văn Bình, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-22:00', 'capacity': '- Sức chứa: 200    '}, {'name': 'Bãi Giữ Xe Bưu Điện Thành Phố', 'address': 'Công Xã Paris, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 07:00-21:30', 'capacity': '- Sức chứa: 60    '}, {'name': 'Bãi Giữ Xe Đường Lê Duẩn', 'address': 'Lê Duẩn, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 07:00-23:00', 'capacity': '- Sức chứa: 2000    '}, {'name': 'Bãi Giữ Xe Chung Cư 42 Nguyễn Huệ', 'address': '42 Nguyễn Huệ, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-22:00', 'capacity': '- Sức chứa: 60    '}, {'name': 'Bãi Giữ Xe Phố Nguyễn Huệ - Hải Triều', 'address': 'Hải Triều, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-22:00', 'capacity': '- Sức chứa: 200    '}, {'name': 'Bãi Giữ Xe Phố Nguyễn Huệ - Tôn Thất Thiệp', 'address': 'Nguyễn Huệ, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 24:00-24:00', 'capacity': '- Sức chứa: 2000    '}, {'name': 'Bãi Giữ Xe Cung Văn Hóa Lao Động', 'address': '55B Nguyễn Thị Minh Khai, P. Bến Thành, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 07:00-22:00', 'capacity': '- Sức chứa: 1000    '}, {'name': 'Bãi Giữ Xe Galaxy Nguyễn Du', 'address': '116 Nguyễn Du, P. Bến Thành, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-23:00', 'capacity': '- Sức chứa: 1000    '}, {'name': 'Bãi Xe Công Viên Tao Đàn - Khuôn Viên Tao Đàn', 'address': 'Huyền Trân Công Chúa, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 06:00-21:00', 'capacity': '- Sức chứa: 500    '}]",,
6,63340c60b53fc66fec0031ac,Morico - Contemporary Japanese Lifestyle - Lê Lợi,"1,365","30 Lê Lợi, P. Bến Nghé",Quận 1,7.7,238.3K,[],[],7.9,7.9,8.1,7.9,6.9,https://shopeefood.vn/ho-chi-minh/morico-modern-japanese-restaurant-cafe-le-loi?source_url=foody_ordernow_pc,Đang mở cửa  11:00 - 19:30,"Buổi sáng , Buổi trưa , Buổi xế , Buổi tối",21:00,Khoảng 5 - 10 phút,Các ngày lễ trong năm,Café/Dessert,70 người lớn (Có chỗ cho trẻ em),"Món Á ,  Món Nhật","Đãi tiệc ,  Họp nhóm ,  Tiếp khách","Món nước ,  Mì ,  Bánh - Kẹo ,  Café - Kem","['Có wifi', 'Có giao hàng', 'Có máy lạnh & điều hòa', 'Cho mua về', 'Trả bằng thẻ', 'Nên đặt trước', 'Giữ xe máy miễn phí', 'Có thẻ thành viên', 'Có xuất hóa đơn đỏ', 'Có hỗ trợ hội thảo']","[{'name': 'Bãi Giữ Xe Bảo Tàng Mỹ Thuật', 'address': '97 Phó Đức Chính, P. Nguyễn Thái Bình, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 07:00-22:00', 'capacity': '- Sức chứa: 100   - 50  '}, {'name': 'Bãi Giữ Xe Đường Hàm Nghi', 'address': 'Hàm Nghi, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 07:00-21:00', 'capacity': '- Sức chứa: 200    '}, {'name': 'Bãi Giữ Xe Ô Tô 24/24 - Nam Kỳ Khởi Nghĩa', 'address': 'Nam Kỳ Khởi Nghĩa, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 24:00-24:00', 'capacity': '- Sức chứa: 0   - 100  '}, {'name': 'Bãi Xe Ô Tô Đường Lê Lai', 'address': 'Lê Lai, P. Bến Thành, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 07:00-22:00', 'capacity': '- Sức chứa: 0   - 50  '}, {'name': 'Bãi Giữ Xe Công Viên 23 Tháng 9', 'address': 'Lê Lai, P. Bến Thành, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 07:00-22:00', 'capacity': '- Sức chứa: 1000    '}, {'name': 'Bãi Giữ Xe Bitexco', 'address': 'Hải Triều, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-22:00', 'capacity': '- Sức chứa: 1000   - 50  '}, {'name': 'Bãi Xe Ô Tô Nhà Hát Lớn Thành Phố', 'address': 'Công Trường Lam Sơn, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-23:00', 'capacity': '- Sức chứa: 50    '}, {'name': 'Bãi Giữ Xe Dinh Độc Lập', 'address': '135 Nam Kỳ Khởi Nghĩa, P. Bến Thành, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-18:00', 'capacity': '- Sức chứa: 1000    '}, {'name': 'Bãi Giữ Xe Bệnh Viện Nhi Đồng 2 - Lý Tự Trọng', 'address': 'Lý Tự Trọng, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 24:00-24:00', 'capacity': '- Sức chứa: 1000    '}, {'name': 'Bãi Giữ Xe Bệnh Viện Nhi Đồng 2 - Nguyễn Du', 'address': 'Nguyễn Du, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 24:00-24:00', 'capacity': '- Sức chứa: 2000    '}, {'name': 'Bãi Giữ Xe Nhà Hát Thành Phố', 'address': '7 Công Trường Lam Sơn, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-22:00', 'capacity': '- Sức chứa: 200    '}, {'name': 'Bãi Giữ Xe Vincom Center', 'address': '72 Lê Thánh Tôn, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-23:00', 'capacity': '- Sức chứa: 2000    '}, {'name': 'Bãi Giữ Xe Diamond Plaza', 'address': '34 Lê Duẩn, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 09:30-22:00', 'capacity': '- Sức chứa: 1000    '}, {'name': 'Bãi Giữ Xe Nhà Văn Hóa Thanh Niên', 'address': 'Nguyễn Thị Minh Khai, P. 6, Quận 3, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-22:00', 'capacity': '- Sức chứa: 1000    '}, {'name': 'Bãi Giữ Xe Đường Sách - Hai Bà Trưng', 'address': 'Hai Bà Trưng, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-22:00', 'capacity': '- Sức chứa: 200    '}, {'name': 'Bãi Giữ Xe Đường Sách Nguyễn Văn Bình', 'address': 'Nguyễn Văn Bình, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-22:00', 'capacity': '- Sức chứa: 200    '}, {'name': 'Bãi Giữ Xe Bưu Điện Thành Phố', 'address': 'Công Xã Paris, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 07:00-21:30', 'capacity': '- Sức chứa: 60    '}, {'name': 'Bãi Giữ Xe Đường Lê Duẩn', 'address': 'Lê Duẩn, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 07:00-23:00', 'capacity': '- Sức chứa: 2000    '}, {'name': 'Bãi Giữ Xe Chung Cư 42 Nguyễn Huệ', 'address': '42 Nguyễn Huệ, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-22:00', 'capacity': '- Sức chứa: 60    '}, {'name': 'Bãi Giữ Xe Phố Nguyễn Huệ - Hải Triều', 'address': 'Hải Triều, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-22:00', 'capacity': '- Sức chứa: 200    '}, {'name': 'Bãi Giữ Xe Phố Nguyễn Huệ - Tôn Thất Thiệp', 'address': 'Nguyễn Huệ, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 24:00-24:00', 'capacity': '- Sức chứa: 2000    '}, {'name': 'Bãi Giữ Xe Cung Văn Hóa Lao Động', 'address': '55B Nguyễn Thị Minh Khai, P. Bến Thành, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 07:00-22:00', 'capacity': '- Sức chứa: 1000    '}, {'name': 'Bãi Giữ Xe Galaxy Nguyễn Du', 'address': '116 Nguyễn Du, P. Bến Thành, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 08:00-23:00', 'capacity': '- Sức chứa: 1000    '}, {'name': 'Bãi Xe Công Viên Tao Đàn - Khuôn Viên Tao Đàn', 'address': 'Huyền Trân Công Chúa, P. Bến Nghé, Quận 1, TP. HCM', 'opening_time': '- Giờ mở cửa: 06:00-21:00', 'capacity': '- Sức chứa: 500    '}, {'name': 'Bãi Giữ Xe Công Viên Tao Đàn', 'address': 'Nguyễn Thị Minh Khai, P. 6, Quận 3, TP. HCM', 'opening_time': '- Giờ mở cửa: 06:00-21:00', 'capacity': '- Sức chứa: 500    '}]",,
7,63340c62b53fc66fec0031ad,Gà rán và Mì Ý - Jollibee - Phan Văn Trị,42,"Tầng 4, Vincom Gò Vấp, 12 Phan Văn Trị",Quận Gò Vấp,7.3,2.7K,[],[],7.5,7.3,7.3,7.3,7.1,https://shopeefood.vn/ho-chi-minh/ga-ran-va-mi-y-jollibee-phan-van-tri?source_url=foody_ordernow_pc,Đang mở cửa  11:00 - 21:30,"Buổi sáng , Buổi trưa , Buổi xế , Buổi tối",09:30 PM,Khoảng 7 - 10 phút,Các ngày lễ trong năm,Nhà hàng,50 người lớn,"Món Á ,  Philippines","Ăn gia đình ,  Ăn Fastfood","Thịt Gà ,  Gà rán ,  Hamburger ,  Ăn vặt - Ăn nhẹ ,  Fastfood - Thức ăn nhanh","['Có wifi', 'Cho mua về']",[],,
8,63340c6ab53fc66fec0031ae,Mẹt - Bún Đậu Mắm Tôm - Lê Quang Định,22,"241 Lê Quang Định, P. 7",Quận Bình Thạnh,5.8,4.1K,[],[],6.5,6.4,5.2,5.4,5.3,,Đang mở cửa  10:00 - 22:00,"Buổi trưa , Buổi xế , Buổi tối",09:30 PM,Khoảng 5 - 10 phút,Các ngày lễ trong năm,Quán ăn,30 người lớn,Món Việt,"Ăn gia đình ,  Họp nhóm ,  Tiếp khách",Bún,['Có wifi'],[],,
9,63340c6fb53fc66fec0031af,Phở Lệ - Nguyễn Trãi,169,"413 - 415 Nguyễn Trãi, P. 7",Quận 5,6.5,43.7K,[],[],7.2,6.2,7.3,5.9,6.0,https://shopeefood.vn/ho-chi-minh/pho-le-nguyen-trai?source_url=foody_ordernow_pc,Đang mở cửa  06:00 - 01:00,"Buổi sáng , Buổi trưa , Buổi xế , Buổi tối",12:30 AM,Khoảng 2 - 3 phút,Các ngày lễ trong năm,Quán ăn,120 người lớn (Có chỗ cho trẻ em),Món Việt,"Ăn gia đình ,  Takeaway - Mang về","Phở ,  Món nước","['Có wifi', 'Cho mua về', 'Nên đặt trước', 'Giữ xe máy miễn phí']",[],,
